"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "Vue", "CSS", "XML", "JSON with Comments", "Database", "comment", "blank", "total"
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateGaleriaIngresoRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 29
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateGaleriaViviendaRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 29
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateHabitanteRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 28
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateIngresoRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 28
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdatePerfilRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 29
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateTipoDocumentoRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 28
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateTipoVisitaRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 29
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateTipoViviendaRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 29
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateVehiculoRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 29
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateVisitanteRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 28
"d:\servidores\xampp\htdocs\SEA\app\Http\Requests\UpdateViviendaRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 29
"d:\servidores\xampp\htdocs\SEA\app\Models\Condominio.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\servidores\xampp\htdocs\SEA\app\Models\DetalleNoAutorizado.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
